eal,Trade Date,Settlement Date,Asset/Account,Description,Note,Type,Category,Fee,Quantity,Security,Amount (CAD),Original Currency Amount,Exchange Rate
672fa8b3c88c949958493506,11/8/24,11/8/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 8827 COSTCO WHOLESAL,,withdrawal,,,-,,-13.64,-13.64 CAD,1
672faa8d1179cb833f2857a7,11/8/24,11/8/24,CIBC Online Banking (Recommended) (Chequing),Electronic Funds Transfer PREAUTHORIZED DEBIT BELL ALIANT,,transfer,Transfers,,-,,-115.92,-115.92 CAD,1
672fa8b3c88c9499584934f4,11/7/24,11/7/24,RBC Online Banking (RBC Advantage Banking),Loan payment,,withdrawal,,,-,,-1045.8,-1045.8 CAD,1
672fa8b3c88c9499584934fa,11/7/24,11/7/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent Small Ball 3WYRK7,,withdrawal,,,-,,-16.5,-16.5 CAD,1
672fa8b3c88c949958493500,11/7/24,11/7/24,RBC Online Banking (RBC Advantage Banking),e-Transfer - Autodeposit ATHANASIA  FILNTISSIS C1A6KnhYDBhr,,deposit,,,-,,30,30 CAD,1
672fab82cbd002100c0b8129,11/7/24,11/7/24,CIBC Online Banking (Recommended) (Savings),Branch Transaction SMART INTEREST,,interest,Interest,,-,,0.68,0.68 CAD,1
672fa8b3c88c9499584934ee,11/6/24,11/6/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent Small Ball LP4CER,,withdrawal,,,-,,-15,-15 CAD,1
672fa8e2c88c949958493c10,11/6/24,11/6/24,RBC Online Banking (RBC Cash Back Mastercard),Spotify P314538D85,,withdrawal,,,-,,-12.64,-12.64 CAD,1
672faa8b1179cb833f2855ef,11/6/24,11/6/24,CIBC Online Banking (Recommended) (CIBC VISA),OPENAI *CHATGPT SUBSCR HTTPSOPENAI.C  CA 23.00 USD @ 1.XX0869 4XXX********9545,,withdrawal,Entertainment,,-,,-32.91,-32.91 CAD,1
672faa8b1179cb833f285632,11/6/24,11/6/24,CIBC Online Banking (Recommended) (CIBC VISA),CASH ADV/BT/CONV CHQ FEE 4XXX********6831,,fee,Service Charges/Fees,,-,,-5,-5 CAD,1
672faa8b1179cb833f285638,11/6/24,11/6/24,CIBC Online Banking (Recommended) (CIBC VISA),CASH ADV/BT/CONV CHQ FEE 4XXX********6831,,fee,Service Charges/Fees,,-,,-5,-5 CAD,1
672fa8b3c88c9499584934be,11/5/24,11/5/24,RBC Online Banking (RBC Advantage Banking),Interac purchase - 5072 COSTCO WHOLESAL,,withdrawal,,,-,,-201.3,-201.3 CAD,1
672fa8b3c88c9499584934c4,11/5/24,11/5/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 4969 COSTCO WHOLESAL,,withdrawal,,,-,,-5.44,-5.44 CAD,1
672fa8b3c88c9499584934ca,11/5/24,11/5/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 1071 STARBUCKS COFFE,,withdrawal,,,-,,-16.6,-16.6 CAD,1
672fa8b3c88c9499584934d0,11/5/24,11/5/24,RBC Online Banking (RBC Advantage Banking),Misc Payment NL POWER INC,,withdrawal,,,-,,-81.75,-81.75 CAD,1
672fa8b3c88c9499584934d6,11/5/24,11/5/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent koko DDM7AB,,withdrawal,,,-,,-50,-50 CAD,1
672fa8b3c88c9499584934dc,11/5/24,11/5/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent koko SY4WZV,,withdrawal,,,-,,-50,-50 CAD,1
672fa8b3c88c9499584934e2,11/5/24,11/5/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent Small Ball DHU5AA,,withdrawal,,,-,,-20,-20 CAD,1
672fa8b3c88c9499584934e8,11/5/24,11/5/24,RBC Online Banking (RBC Advantage Banking),e-Transfer - Autodeposit KOKO H SAAR C1AZcHPH6e2Z,,deposit,,,-,,100,100 CAD,1
672faa8a1179cb833f2855e9,11/5/24,11/5/24,CIBC Online Banking (Recommended) (CIBC VISA),OPENAI *CHATGPT SUBSCR HTTPSOPENAI.C  CA 23.00 USD @ 1.XX7826 4XXX********9545,,withdrawal,Entertainment,,-,,-32.84,-32.84 CAD,1
672faa8b1179cb833f285626,11/5/24,11/5/24,CIBC Online Banking (Recommended) (CIBC VISA),Wise Payments Canada Inc. Ottawa  ON 4XXX********6831,,withdrawal,General Merchandise,,-,,-20.54,-20.54 CAD,1
672faa8b1179cb833f28562c,11/5/24,11/5/24,CIBC Online Banking (Recommended) (CIBC VISA),Wise Payments Canada Inc. Ottawa  ON 4XXX********6831,,withdrawal,General Merchandise,,-,,-27.16,-27.16 CAD,1
672fa8b3c88c9499584934a6,11/4/24,11/4/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 3270 TIM HORTONS #26,,withdrawal,,,-,,-6.28,-6.28 CAD,1
672fa8b3c88c9499584934ac,11/4/24,11/4/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent Kristof QBVJSH,,withdrawal,,,-,,-60,-60 CAD,1
672fa8b3c88c9499584934b2,11/4/24,11/4/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent Small Ball 7LU2JZ,,withdrawal,,,-,,-100,-100 CAD,1
672fa8b3c88c9499584934b8,11/4/24,11/4/24,RBC Online Banking (RBC Advantage Banking),e-Transfer - Autodeposit ATHANASIA  FILNTISSIS C1AjRZGPhPkF,,deposit,,,-,,80,80 CAD,1
672faa8a1179cb833f2855dd,11/4/24,11/4/24,CIBC Online Banking (Recommended) (CIBC VISA),AMZN Mktp CA*F03M20FI3 WWW.AMAZON.CA  ON 4XXX********9545,,withdrawal,General Merchandise,,-,,-65.43,-65.43 CAD,1
672faa8a1179cb833f2855e3,11/4/24,11/4/24,CIBC Online Banking (Recommended) (CIBC VISA),PURCHASE INTEREST 4XXX********9545,,fee,Service Charges/Fees,,-,,-75.65,-75.65 CAD,1
672faa8d1179cb833f28579b,11/4/24,11/4/24,CIBC Online Banking (Recommended) (Chequing),Internet Banking INTERNET TRANSFER XXXXXXXX4332,,transfer,Transfers,,-,,-200,-200 CAD,1
672faa8d1179cb833f2857a1,11/4/24,11/4/24,CIBC Online Banking (Recommended) (Chequing),Internet Banking INTERNET TRANSFER XXXXXXXX4784,,transfer,Transfers,,-,,-250,-250 CAD,1
672faa8a1179cb833f2855bf,11/3/24,11/3/24,CIBC Online Banking (Recommended) (CIBC VISA),PAYMENT THANK YOU/PAIEMEN T MERCI 4XXX********9545,,transfer,Credit Card Payments,,-,,250,250 CAD,1
672faa8a1179cb833f2855c5,11/3/24,11/3/24,CIBC Online Banking (Recommended) (CIBC VISA),PAYMENT THANK YOU/PAIEMEN T MERCI 4XXX********9545,,transfer,Credit Card Payments,,-,,200,200 CAD,1
672faa8a1179cb833f2855cb,11/3/24,11/3/24,CIBC Online Banking (Recommended) (CIBC VISA),INTEREST REVERSAL 4XXX********9545,,deposit,Refunds/Adjustments,,-,,0.1,0.1 CAD,1
672faa8a1179cb833f2855d1,11/3/24,11/3/24,CIBC Online Banking (Recommended) (CIBC VISA),INTEREST REVERSAL 4XXX********9545,,deposit,Refunds/Adjustments,,-,,0.13,0.13 CAD,1
672faa8a1179cb833f2855d7,11/3/24,11/3/24,CIBC Online Banking (Recommended) (CIBC VISA),GOOGLE *Google One g.co/helppay#  NS 4XXX********9545,,withdrawal,Online Services,,-,,-4.51,-4.51 CAD,1
672fa8b3c88c94995849347c,11/1/24,11/1/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 0519 COSTCO WHOLESAL,,withdrawal,,,-,,-19.93,-19.93 CAD,1
672fa8b3c88c949958493482,11/1/24,11/1/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent Small Ball PXHE8K,,withdrawal,,,-,,-25,-25 CAD,1
672fa8b3c88c949958493488,11/1/24,11/1/24,RBC Online Banking (RBC Advantage Banking),Online Banking transfer - 0976,,withdrawal,,,-,,-79,-79 CAD,1
672fa8b3c88c94995849348e,11/1/24,11/1/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent 97 mayor payments SJCUBA,,withdrawal,,,-,,-1500,-1500 CAD,1
672fa8b3c88c949958493494,11/1/24,11/1/24,RBC Online Banking (RBC Advantage Banking),e-Transfer - Autodeposit DANIKA MCNEILL C1A9gxvTnGcx,,deposit,,,-,,475,475 CAD,1
672fa8b3c88c94995849349a,11/1/24,11/1/24,RBC Online Banking (RBC Advantage Banking),e-Transfer - Autodeposit Mridul misra 8c93de7e1348490c6c408360469bb173,,deposit,,,-,,1050,1050 CAD,1
672fa8b3c88c9499584934a0,11/1/24,11/1/24,RBC Online Banking (RBC Advantage Banking),e-Transfer - Autodeposit Clo C1AY2NKvE7uC,,deposit,,,-,,850,850 CAD,1
672fa8e2c88c949958493c0a,11/1/24,11/1/24,RBC Online Banking (RBC Cash Back Mastercard),PAYMENT - THANK YOU / PAI,,deposit,,,-,,79,79 CAD,1
672faa8a1179cb833f2855b3,11/1/24,11/1/24,CIBC Online Banking (Recommended) (CIBC VISA),SECURITY NATIONAL INSURAN MONTREAL  QC 4XXX********9545,,withdrawal,Insurance,,-,,-345.2,-345.2 CAD,1
672faa8a1179cb833f2855b9,11/1/24,11/1/24,CIBC Online Banking (Recommended) (CIBC VISA),PAYMENT THANK YOU/PAIEMEN T MERCI 4XXX********9545,,transfer,Credit Card Payments,,-,,250,250 CAD,1
672faa8b1179cb833f285620,11/1/24,11/1/24,CIBC Online Banking (Recommended) (CIBC VISA),PAYMENT THANK YOU/PAIEMEN T MERCI 4XXX********6831,,transfer,Credit Card Payments,,-,,38.78,38.78 CAD,1
672faa8d1179cb833f285789,11/1/24,11/1/24,CIBC Online Banking (Recommended) (Chequing),Internet Banking E-TRANSFER XXXXXXXX4193 MATEUS SAAR,,transfer,Transfers,,-,,1500,1500 CAD,1
672faa8d1179cb833f28578f,11/1/24,11/1/24,CIBC Online Banking (Recommended) (Chequing),Internet Banking INTERNET TRANSFER XXXXXXXX8086,,transfer,Transfers,,-,,-250,-250 CAD,1
672faa8d1179cb833f285795,11/1/24,11/1/24,CIBC Online Banking (Recommended) (Chequing),Internet Banking INTERNET TRANSFER XXXXXXXX8206,,transfer,Transfers,,-,,-38.78,-38.78 CAD,1
672fa8b2c88c949958493464,10/31/24,10/31/24,RBC Online Banking (RBC Advantage Banking),Payroll Deposit NUYTCO RESEARCH,,deposit,,,-,,2314.07,2314.07 CAD,1
672fa8b2c88c94995849346a,10/31/24,10/31/24,RBC Online Banking (RBC Advantage Banking),e-Transfer - Autodeposit DANIKA MCNEILL C1AhAaPyT9Mc,,deposit,,,-,,475,475 CAD,1
672fa8b2c88c949958493470,10/31/24,10/31/24,RBC Online Banking (RBC Advantage Banking),e-Transfer - Autodeposit ATHANASIA  FILNTISSIS C1AQRe3apMp8,,deposit,,,-,,7.5,7.5 CAD,1
672fa8b2c88c949958493476,10/31/24,10/31/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 5570 A & W # 0540,,withdrawal,,,-,,-11.53,-11.53 CAD,1
672faa8d1179cb833f28577d,10/31/24,10/31/24,CIBC Online Banking (Recommended) (Chequing),Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,,fee,Service Charges/Fees,,-,,-6.95,-6.95 CAD,1
672faa8d1179cb833f285783,10/31/24,10/31/24,CIBC Online Banking (Recommended) (Chequing),Branch Transaction SERVICE CHARGE DISCOUNT,,deposit,Service Charges/Fees,,-,,6.95,6.95 CAD,1
672fab82cbd002100c0b8123,10/31/24,10/31/24,CIBC Online Banking (Recommended) (Savings),Branch Transaction INTEREST,,interest,Interest,,-,,0.45,0.45 CAD,1
672fa8b2c88c949958493446,10/30/24,10/30/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 0878 A & W # 0540,,withdrawal,,,-,,-16.73,-16.73 CAD,1
